image_path,grade
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\766.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\891.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2086.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2351.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2151.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1446.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1921.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2201.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1506.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\201.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\191.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\531.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1041.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1686.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\581.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1341.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1076.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2526.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\1171.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\3211.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1016.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\551.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2441.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\3491.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2461.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1076.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1271.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\966.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1491.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1801.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\396.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\946.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\736.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\836.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\926.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1286.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2271.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\46.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1521.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1581.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1871.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1246.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2646.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1236.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\1316.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\2051.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\881.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\66.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\691.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\2531.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2521.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\66.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1681.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\86.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\756.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1141.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1276.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1336.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1241.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1861.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\2356.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1331.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\431.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\881.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1886.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1266.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2141.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\851.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1106.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1171.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\2466.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\616.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\146.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\71.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1491.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1851.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1111.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1796.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\406.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1606.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1351.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\2906.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\331.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\2046.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1786.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1281.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2676.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\431.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\681.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\3401.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\2106.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2731.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1781.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1941.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\836.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1611.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\461.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\101.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1421.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\701.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\2276.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2001.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1541.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\486.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\1631.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\286.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1346.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1926.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1731.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1636.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\486.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1211.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\681.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\1326.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\201.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1486.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\956.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\46.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1331.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2121.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\1461.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\1656.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\41.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\2321.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1511.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1006.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\296.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2291.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\226.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1326.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1891.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\876.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\2006.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\2111.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1226.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2101.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\2066.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1651.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1301.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1481.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\736.bmp,3
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\151.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\526.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2546.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2786.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\2056.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\2681.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\1011.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1871.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1381.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\1286.bmp,1
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\181.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\3\2391.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\4\2116.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\5\1171.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\941.bmp,2
C:\Users\shreya\Desktop\Capstone\Capstone-master\2\421.bmp,3
