video_id,label,split,video_path,frames_dir,status,source_fps,target_fps,frame_interval,total_source_frames,frames_saved,resolution
24,normal,train,palsynet_frames/raw_videos/normal/24.mp4,palsynet_frames/frames/train/normal/24,ok,30.0,6.0,5,4206,842,300x300
20,normal,train,palsynet_frames/raw_videos/normal/20.mp4,palsynet_frames/frames/train/normal/20,ok,30.0,6.0,5,2412,483,300x300
18,normal,train,palsynet_frames/raw_videos/normal/18.mp4,palsynet_frames/frames/train/normal/18,ok,30.0,6.0,5,1147,230,300x300
9,normal,train,palsynet_frames/raw_videos/normal/9.mp4,palsynet_frames/frames/train/normal/9,ok,30.0,6.0,5,1649,330,300x300
27,normal,train,palsynet_frames/raw_videos/normal/27.mp4,palsynet_frames/frames/train/normal/27,ok,30.0,6.0,5,1800,360,300x300
15,normal,train,palsynet_frames/raw_videos/normal/15.mp4,palsynet_frames/frames/train/normal/15,ok,30.0,6.0,5,224,45,300x300
14,normal,train,palsynet_frames/raw_videos/normal/14.mp4,palsynet_frames/frames/train/normal/14,ok,30.0,6.0,5,172,35,300x300
19,normal,train,palsynet_frames/raw_videos/normal/19.mp4,palsynet_frames/frames/train/normal/19,ok,30.0,6.0,5,2089,418,300x300
23,normal,train,palsynet_frames/raw_videos/normal/23.mp4,palsynet_frames/frames/train/normal/23,ok,30.0,6.0,5,4451,891,300x300
5,normal,train,palsynet_frames/raw_videos/normal/5.mp4,palsynet_frames/frames/train/normal/5,ok,30.0,6.0,5,1853,371,300x300
2,normal,train,palsynet_frames/raw_videos/normal/2.mp4,palsynet_frames/frames/train/normal/2,ok,30.0,6.0,5,10069,2014,300x300
26,normal,train,palsynet_frames/raw_videos/normal/26.mp4,palsynet_frames/frames/train/normal/26,ok,30.0,6.0,5,4206,842,300x300
10,normal,train,palsynet_frames/raw_videos/normal/10.mp4,palsynet_frames/frames/train/normal/10,ok,30.0,6.0,5,338,68,300x300
22,normal,train,palsynet_frames/raw_videos/normal/22.mp4,palsynet_frames/frames/train/normal/22,ok,30.0,6.0,5,4598,920,300x300
7,normal,train,palsynet_frames/raw_videos/normal/7.mp4,palsynet_frames/frames/train/normal/7,ok,30.0,6.0,5,6919,1384,300x300
21,normal,train,palsynet_frames/raw_videos/normal/21.mp4,palsynet_frames/frames/train/normal/21,ok,30.0,6.0,5,2807,562,300x300
11,normal,train,palsynet_frames/raw_videos/normal/11.mp4,palsynet_frames/frames/train/normal/11,ok,30.0,6.0,5,442,89,300x300
25,normal,train,palsynet_frames/raw_videos/normal/25.mp4,palsynet_frames/frames/train/normal/25,ok,30.0,6.0,5,1800,360,300x300
8,normal,train,palsynet_frames/raw_videos/normal/8.mp4,palsynet_frames/frames/train/normal/8,ok,30.0,6.0,5,1801,361,300x300
13,normal,val,palsynet_frames/raw_videos/normal/13.mp4,palsynet_frames/frames/val/normal/13,ok,30.0,6.0,5,332,67,300x300
4,normal,val,palsynet_frames/raw_videos/normal/4.mp4,palsynet_frames/frames/val/normal/4,ok,30.0,6.0,5,4257,852,300x300
16,normal,val,palsynet_frames/raw_videos/normal/16.mp4,palsynet_frames/frames/val/normal/16,ok,30.0,6.0,5,457,92,300x300
17,normal,val,palsynet_frames/raw_videos/normal/17.mp4,palsynet_frames/frames/val/normal/17,ok,30.0,6.0,5,276,56,300x300
6,normal,test,palsynet_frames/raw_videos/normal/6.mp4,palsynet_frames/frames/test/normal/6,ok,30.0,6.0,5,9436,1888,300x300
1,normal,test,palsynet_frames/raw_videos/normal/1.mp4,palsynet_frames/frames/test/normal/1,ok,30.0,6.0,5,10069,2014,300x300
12,normal,test,palsynet_frames/raw_videos/normal/12.mp4,palsynet_frames/frames/test/normal/12,ok,30.0,6.0,5,208,42,300x300
3,normal,test,palsynet_frames/raw_videos/normal/3.mp4,palsynet_frames/frames/test/normal/3,ok,30.0,6.0,5,1141,229,300x300
5,paralysed,train,palsynet_frames/raw_videos/paralysed/5.mp4,palsynet_frames/frames/train/paralysed/5,ok,30.0,6.0,5,2373,475,300x300
16,paralysed,train,palsynet_frames/raw_videos/paralysed/16.mp4,palsynet_frames/frames/train/paralysed/16,ok,30.0,6.0,5,3320,664,300x300
7,paralysed,train,palsynet_frames/raw_videos/paralysed/7.mp4,palsynet_frames/frames/train/paralysed/7,ok,30.0,6.0,5,3727,746,300x300
2,paralysed,train,palsynet_frames/raw_videos/paralysed/2.mp4,palsynet_frames/frames/train/paralysed/2,ok,30.0,6.0,5,9000,1800,300x300
13,paralysed,train,palsynet_frames/raw_videos/paralysed/13.mp4,palsynet_frames/frames/train/paralysed/13,ok,30.0,6.0,5,3670,734,300x300
3,paralysed,train,palsynet_frames/raw_videos/paralysed/3.mp4,palsynet_frames/frames/train/paralysed/3,ok,30.0,6.0,5,9000,1800,300x300
22,paralysed,train,palsynet_frames/raw_videos/paralysed/22.mp4,palsynet_frames/frames/train/paralysed/22,ok,30.0,6.0,5,1800,360,300x300
